,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Antigüedad,Bodegas,Orientación
482,Hermoso Y Amplio Departamento.,Departamento,Publicado hace 8 días,2021-07-01,"Bustos 2100 - 2400, Inés de Suárez, Providencia, RM (Metropolitana)",490.000,,"0,19 UF/m²","0,28 UF/m²",88 m²,65 m²,1,2,1,155000 CLP,,,,,,
483,"Excelente Ubicación, Gran Conectividad ",Departamento,Publicado hace 8 días,2021-07-01,"Carmen Sylva 2400 - 2700, Las Lilas, Providencia, RM (Metropolitana)",550.000,,"0,31 UF/m²","0,34 UF/m²",60 m²,50 m²,1,1,1,,,,,,,
484,Arriendo Depto En Providencia,Departamento,Publicado hace 8 días,2021-07-01,"Avenida Manuel Montt 275, Manuel Montt, Providencia, RM (Metropolitana)",590.000,,"0,32 UF/m²","0,28 UF/m²",63 m²,60 m²,2,2,1,98000 CLP,,,,,,
485,"Acogedor Depto., Con Hermosa Vista Despejada.",Departamento,Publicado hace 7 días,2021-07-01,"Suecia 750 - Departamento 1401, Los Leones, Providencia, RM (Metropolitana)",495.000,,"0,3 UF/m²","0,34 UF/m²",55 m²,45 m²,1,1,1,,,,,,,
486,Se Arrienda Lindo Depto 1d/1b En Diego De Velasquez,Departamento,Publicado hace 7 días,2021-07-01,"Diego De Velásquez 1800 - 2100, Manuel Montt, Providencia, RM (Metropolitana)",420.000,,"0,42 UF/m²","0,34 UF/m²",34 m²,30 m²,1,1,1,,,,,,,
487,"Hermoso Departamento, Linda Vista - Metro Inés Suarez",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Los Leones 2100 - 2400, Campus Oriente, Providencia, RM (Metropolitana)",725.000,,"0,3 UF/m²","0,28 UF/m²",82.66 m²,72.66 m²,2,2,2,,,,,,,
488,Metro Pedro De Valdivia - La Concepcion,Departamento,Publicado hace 7 días,2021-07-01,"Francisco Antonio Encina 1781, Pedro de Valdivia, Providencia, RM (Metropolitana)",365.000,,"0,29 UF/m²","0,34 UF/m²",43 m²,40 m²,1,1,1,,,,,,,
489,Arriendo Departamento Amoblado Cirujano Guzman (3298),Departamento,Publicado hace 7 días,2021-07-01,"Cirujano Guzman 70, Manuel Montt, Providencia, RM (Metropolitana)",370.000,,"0,35 UF/m²","0,34 UF/m²",36 m²,33 m²,1,1,,,,,,,,
490,Estudio / Amoblado,Departamento,Publicado hace 7 días,2021-07-01,"Antonio Bellet 1 - 300, Pedro de Valdivia, Providencia, RM (Metropolitana)",360.000,,"0,48 UF/m²","0,34 UF/m²",25 m²,23 m²,1,1,,40000 CLP,,,,,,
491,Gran 1d1b Amoblado En Providencia,Departamento,Publicado hace 7 días,2021-07-01,"Federico Froebel 1800 - 2100, Pedro de Valdivia, Providencia, RM (Metropolitana)",550.000,,"0,43 UF/m²","0,29 UF/m²",43 m²,40 m²,1,2,1,,,,,,,
492,Departamento Amoblado 2d 2b Ambos En Suite 1 Estac. 1 Bod ,Departamento,Publicado hace 7 días,2021-07-01,"Nueva Providencia 1200 - 1500, Manuel Montt, Providencia, RM (Metropolitana)",580.000,,"0,3 UF/m²","0,28 UF/m²",65 m²,58 m²,2,2,1,,,,,,,
493,"Hermoso Depto, Excelente Conectividad ",Departamento,Publicado hace 7 días,2021-07-01,"Mardoqueo Fernández 101 - Departamento 900 - 1200, Los Leones, Providencia, RM (Metropolitana)",360.000,,"0,27 UF/m²","0,29 UF/m²",45 m²,45 m²,1,2,1,120000 CLP,,,,,,
494,"Hermoso Depto, Excelente Conectividad ",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Providencia 337, Plaza Italia, Providencia, RM (Metropolitana)",250.000,,"0,17 UF/m²",,50 m²,50 m²,2,1,,,,,,,,
495,"Carmen Sylva, Con Termopanel!!!",Departamento,Publicado hace 7 días,2021-07-01,"Carmen Sylva 2400 - 2700, Las Lilas, Providencia, RM (Metropolitana)",830.000,,"0,23 UF/m²","0,24 UF/m²",123 m²,123 m²,3,2,1,,,,,,,
496,"Hermoso Depto, Excelente Conectividad ",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Pocuro 2275, Providencia, RM (Metropolitana)",430.000,,"0,3 UF/m²","0,32 UF/m²",48 m²,45 m²,2,2,1,,,,,,,
497,"Hermoso Depto, Excelente Conectividad ",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Pocuro 2100 - 2400, Providencia, RM (Metropolitana)",430.000,,"0,3 UF/m²","0,32 UF/m²",48 m²,45 m²,2,2,1,,,,,,,
498,"Departamento Amoblado En Arriendo, Román Díaz, Providencia",Departamento,Publicado hace 7 días,2021-07-01,"Román Díaz 1 - 300, Manuel Montt, Providencia, RM (Metropolitana)",480.000,,"0,29 UF/m²","0,34 UF/m²",55 m²,48 m²,1,1,1,,,,,,,
499,Departamento Casi Nuevo En Barrio Italia,Departamento,Publicado hace 7 días,2021-07-01,"Santa Victoria 1 - 300, Barrio Italia, Providencia, RM (Metropolitana)",440.000,,"0,31 UF/m²","0,34 UF/m²",48 m²,42.5 m²,1,1,1,,,,,,,
500,Marchant Pereira I Eliodoro Yañez,Departamento,Publicado hace 7 días,2021-07-01,"Marchant Pereira 685, Pedro de Valdivia, Providencia, RM (Metropolitana)",380.000,,"0,34 UF/m²","0,34 UF/m²",38 m²,38 m²,1,1,,80000 CLP,,,,,,
501,Dpto Tipo Studio 1d/1b  Suecia - Metro Los Leones,Departamento,Publicado hace 7 días,2021-07-01,"Suecia 1 - 300, Los Leones, Providencia, RM (Metropolitana)",340.000,,"0,38 UF/m²","0,34 UF/m²",30 m²,29 m²,1,1,,,,,,,,
502,Departamento Piso 18 Vista Despejada Sin Estacionamiento,Departamento,Publicado hace 7 días,2021-07-01,"Manuel Montt 1 - 300, Manuel Montt, Providencia, RM (Metropolitana)",360.000,,"0,32 UF/m²","0,34 UF/m²",38 m²,36 m²,1,1,,69500 CLP,,,,,,
503,"Josè Tomàs Rieder, Bajos Gc!!",Departamento,Publicado hace 6 días,2021-07-01,"Josè Tomàs Rieder 1200 - 1500, Manuel Montt, Providencia, RM (Metropolitana)",550.000,,"0,25 UF/m²","0,26 UF/m²",75 m²,75 m²,2,1,,,,,,,,
504,Disponible Agosto 2021 ,Departamento,Publicado hace 6 días,2021-07-01,"Avenida Ricardo Lyon 2100 - 2400, Campus Oriente, Providencia, RM (Metropolitana)",450.000,,"0,29 UF/m²","0,34 UF/m²",53 m²,48 m²,1,1,1,,,,,,,
505,Carmen Sylva / Tobalaba,Departamento,Publicado hace 6 días,2021-07-01,"Carmen Sylva 2700 - 3000, Las Lilas, Providencia, RM (Metropolitana)",520.000,,"0,26 UF/m²","0,28 UF/m²",68 m²,68 m²,2,2,1,,,,,,,
506,Maravilloso Moderno Equipado Completo Muy Amplio,Departamento,Publicado hace 6 días,2021-07-01,"Llewellyn Jones 1200 - 1500, Las Lilas, Providencia, RM (Metropolitana)",42,1.247.937,"0,44 UF/m²","0,28 UF/m²",95 m²,83 m²,2,2,1,,,,,,,
507,Brabanzon/ Av. Pocuro,Departamento,Publicado hace 6 días,2021-07-01,"La Brabanzón 2700 - 3000, Las Lilas, Providencia, RM (Metropolitana)",750.000,,"0,21 UF/m²","0,23 UF/m²",120 m²,120 m²,3,3,1,200000 CLP,,,,,,
