,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Bodegas,Número de piso de la unidad,Departamentos por piso
350,Depto Amoblado Vista Parque Araucano 2 Dormitorios 2 Baños,Departamento,Publicado hace 13 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.250.000,,"0,41 UF/m²","0,33 UF/m²",102 m²,78 m²,2,2,120000 CLP,1,,,,
351,"El Golf, Amoblado, Terraza Y Amplia Jardinera, 1 Estacio...",Departamento,Publicado hace 13 días,2021-07-01,"El Golf, Amoblado, Terraza Y Amplia Jardinera, 1 Estacionamiento, Barrio El Golf, Las Condes, RM (Metropolitana)",490.000,,"0,28 UF/m²","0,37 UF/m²",58 m²,50 m²,1,1,60000 CLP,1,7 años,,,
352,Departamento En Tercer Piso,Departamento,Publicado hace 13 días,2021-07-01,"San Pascual 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",370.000,,"0,31 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,,1,,,,
353,"El Golf, San Sabastian | 3d + Servicio | 2b | Est. + Bod |",Departamento,Publicado hace 13 días,2021-07-01,"San Sebastian 2400 - 2700, Barrio El Golf, Las Condes, RM (Metropolitana)",750.000,,"0,21 UF/m²","0,28 UF/m²",120 m²,110 m²,4,3,,1,,,,
354,Escuela Militar / La Macarena,Departamento,Publicado hace 13 días,2021-07-01,"La Macarena (myp) 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",420.000,,"0,28 UF/m²","0,37 UF/m²",50 m²,42 m²,1,1,65000 CLP,1,,,,
355,Departamento Con Cocina Remodelada,Departamento,Publicado hace 13 días,2021-07-01,"San Pascual 141, Metro Escuela Militar, Las Condes, RM (Metropolitana)",380.000,,"0,32 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,,1,,,,
356,Luz / Presidente Riesco,Departamento,Publicado hace 13 días,2021-07-01,"Luz / Presidente Riesco, Centro Financiero, Las Condes, RM (Metropolitana)",1.000.000,,"0,31 UF/m²","0,29 UF/m²",109 m²,100 m²,3,2,,1,,,,
357,Gran Departamento De 140 Metros En Las Condes,Departamento,Publicado hace 13 días,2021-07-01,"Camino San Antonio / Avenida Las Condes 000, Mall Sport, Las Condes, RM (Metropolitana)",1.200.000,,"0,28 UF/m²","0,28 UF/m²",145 m²,140 m²,4,3,,3,,,,
358,Burgos Con Renato Sanchez,Departamento,Publicado hace 13 días,2021-07-01,"Burgos Con Renato Sanchez, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,22 UF/m²","0,26 UF/m²",181 m²,145 m²,4,3,150000 CLP,2,,,,
359,"El Dante, Metro E. Militar Y Alcantara",Departamento,Publicado hace 13 días,2021-07-01,"El Dante 3900 - 4200, Metro Escuela Militar, Las Condes, RM (Metropolitana)",480.000,,"0,34 UF/m²","0,37 UF/m²",48 m²,48 m²,1,1,,1,,,,
