,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Ambientes,Bodegas,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Orientación
1702,El Golf,Departamento,Publicado hace 4 meses,2021-07-02,"El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",750.000,,"0,32 UF/m²","0,33 UF/m²",80 m²,90 m²,2,2,120000 CLP,,,2,,,,,PONIENTE
1703,Departamento Amoblado Total,Departamento,Publicado hace 4 meses,2021-07-02,"Avenida Peru, 981, Cerro Blanco, Recoleta, RM (Metropolitana)",290.000,,"0,21 UF/m²",,46 m²,44 m²,1,1,55000 CLP,,,3,,,,20,
1704,Departamento Nuevo En Ecuador - Estación Central,Departamento,Publicado hace 4 meses,2021-07-02,"Ecuador, 4570, Metro Ecuador, Estación Central, RM (Metropolitana)",260.000,,"0,24 UF/m²","0,26 UF/m²",37 m²,33 m²,1,1,35000 CLP,,,,,,,,S
1705,Cómodo Departamento En Barrio Universitario,Departamento,Publicado hace 4 meses,2021-07-02,"Barrio República, Santiago, RM (Metropolitana)",260.000,,"0,29 UF/m²","0,72 UF/m²",30 m²,28 m²,1,1,,,,1,,,,,N
1706,Departamento Amoblado,Departamento,Publicado hace 4 meses,2021-07-02,"San Sebastián, Centro Financiero, Las Condes, RM (Metropolitana)",17,505.118,"0,34 UF/m²","0,37 UF/m²",50 m²,46 m²,1,1,,1,1990 años,,,,,,
1707,Departamento  Metro Tobalaba A Pasos Costanera Center - 2d,Departamento,Publicado hace 4 meses,2021-07-02,"Departamento  Metro Tobalaba A Pasos Costanera Center - 2d, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",600.000,,"0,22 UF/m²","0,28 UF/m²",90 m²,90 m²,2,2,60000 CLP,,,2,,,,,
1708,Departamento En Arriendo De 3 Dorm. En Lo Barnechea,Departamento,Publicado hace 4 meses,2021-07-02,"Los Cactus, La Dehesa, Lo Barnechea, RM (Metropolitana)",62,1.842.193,"0,24 UF/m²",,260 m²,244 m²,3,3,600000 CLP,2,,,,,,,
1709,Departamento En Arriendo De 1 Dorm. En Las Condes,Departamento,Publicado hace 4 meses,2021-07-02,"El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",299.000,,"0,29 UF/m²","0,37 UF/m²",35 m²,35 m²,1,1,60000 CLP,,,,,,,,
1710,Arriendo Departamento Remodelado En Pleno Barrio El Golf,Departamento,Publicado hace 4 meses,2021-07-02,"Arriendo Departamento Remodelado En Pleno Barrio El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",550.000,,"0,51 UF/m²","0,37 UF/m²",36 m²,36 m²,1,1,70000 CLP,,31 años,,,,,,
1711,Departamento Nuevo En El Corazón De San Miguel,Departamento,Publicado hace 4 meses,2021-07-02,"Departamento Nuevo En El Corazón De San Miguel, Lo Vial, San Miguel, RM (Metropolitana)",360.000,,"0,27 UF/m²","0,26 UF/m²",44.36 m²,40.3 m²,2,1,65000 CLP,,2 años,,,,,,
