,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
1515,Código: EB-EW8717,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Santa Teresa de Los Andes.,UF 122,$ 3.602.596,3,3,,389 m²,,,04-05-2020,2020 1ºSem,85,-33.3697,-70.5442
1516,Código: 1548948,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Departamento de lujo amoblado en Raimundo Larrain,$ 5.000.000,"UF 169,32",3,4,,407 m²,407 m²,474.252.215,12-12-2018,2020 1ºSem,85,-33.3681,-70.5442
1517,Código: 202037490,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Cerro Alvarado,UF 125,$ 3.691.185,4,4,,525 m²,566 m²,,08-06-2021,2020 1ºSem,85,-33.3698,-70.5439
1518,Código: EB-DH5988,Casa,Casa en Arriendo Colina - Metropolitana Ver ubicación,Chicureo Poniente.,UF 93,$ 2.746.241,6,5,5.054 m²,631 m²,,,20-06-2019,,,-33.2778,-70.7097
1519,Código: 201029702,Casa,Casa en Arriendo Colina - Metropolitana Ver ubicación,Chicureo Poniente,UF 370,$ 10.925.907,7,3,2.700 m²,950 m²,,,03-01-2020,,,-33.2756,-70.7038
1520,Código: 202375622,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,Metro Chile España,$ 395.000,"UF 13,38",1,1,,38 m²,41 m²,,26-04-2021,2020 1ºSem,70,-33.455,-70.5959
1521,Código: 202015517,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,A PASOS METRO CHILE ESPAÑA,$ 390.000,"UF 13,21",1,1,,33 m²,37 m²,,18-04-2021,2020 1ºSem,70,-33.455,-70.5959
1522,Código: 202000444,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,Plaza Nuñoa,$ 380.000,"UF 12,87",1,1,,36 m²,36 m²,,01-07-2021,2020 1ºSem,70,-33.4559,-70.5959
1523,Código: 202024568,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,Irarrázaval / Holanda,$ 360.000,"UF 12,19",1,1,,65 m²,65 m²,,26-06-2021,2020 1ºSem,70,-33.455,-70.5972
1524,Código: P4891,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,BROWN SUR / DUBLÉ ALMEYDA,$ 350.000,"UF 11,85",,,,45 m²,,,14-05-2021,2020 1ºSem,70,-33.4569,-70.5922
