,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Orientación,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Bodegas
1137,Quinchamali,Departamento,Publicado hace 5 meses,2021-07-01,"Quinchamali, Quinchamalí, Las Condes, RM (Metropolitana)",3.000.000,,"0,2 UF/m²","0,24 UF/m²",500 m²,320 m²,5,6,4,,,,,,,
1138,El Golf,Departamento,Publicado hace 6 meses,2021-07-01,"El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",1.800.000,,"0,22 UF/m²","0,24 UF/m²",280 m²,260 m²,4,4,2,250000 CLP,,,,,,
1139,Barrio El Golf - Metro Alcántara Y Metro Escuela Militar,Departamento,Publicado hace 42 días,2021-07-01,"Barrio El Golf - Metro Alcántara Y Metro Escuela Militar, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.100.000,,"0,26 UF/m²","0,28 UF/m²",145 m²,120 m²,3,3,2,,,,,,,
1140,Parque Arauco / Cerro Colorado,Departamento,Publicado hace 6 meses,2021-07-01,"Parque Arauco / Cerro Colorado, Parque Arauco, Las Condes, RM (Metropolitana)",1.400.000,,"0,49 UF/m²","0,33 UF/m²",97 m²,78 m²,2,2,1,150000 CLP,,,,,,
1141,Callao / Gertrudis Echenique / Metro Alcantara / Las Condes,Departamento,Publicado hace 42 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",1.900.000,,"0,44 UF/m²","0,29 UF/m²",145 m²,125 m²,2,3,1,220000 CLP,,,,,,
1142,La Gioconda / Metro Alcantara,Departamento,Publicado hace 42 días,2021-07-01,"La Gioconda 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.730.000,,"0,31 UF/m²","0,24 UF/m²",190 m²,170 m²,4,4,2,140000 CLP,,,,,,
1143,Semi Amoblado / Minimalista - Moderno - Kennedy - Marrio...,Departamento,Publicado hace 6 meses,2021-07-01,"Semi Amoblado / Minimalista - Moderno - Kennedy - Marriot- Vista Despejada Al Manquehue, Parque Arauco, Las Condes, RM (Metropolitana)",850.000,,"0,36 UF/m²","0,33 UF/m²",80 m²,70 m²,2,2,1,,,,,,,
1144,El Golf / Metro Alcantara,Departamento,Publicado hace 6 meses,2021-07-01,"El Golf / Metro Alcantara, Barrio El Golf, Las Condes, RM (Metropolitana)",850.000,,"0,41 UF/m²","0,33 UF/m²",70 m²,65 m²,2,2,1,,,,,,,
1145,El Golf / Metro Alcantara,Departamento,Publicado hace 6 meses,2021-07-01,"El Golf / Metro Alcantara, Barrio El Golf, Las Condes, RM (Metropolitana)",1.500.000,,"0,32 UF/m²","0,28 UF/m²",160 m²,135 m²,3,3,2,,,,,,,
1146,Callao / Gertrudis Echenique / Metro Alcantara / Las Condes,Departamento,Publicado hace 42 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",1.100.000,,"0,3 UF/m²","0,28 UF/m²",125 m²,110 m²,3,3,1,290000 CLP,,,,,,
