,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Orientación,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Bodegas
1413,El Golf - Metro Alcántara - Amoblado De Lujo!,Departamento,Publicado hace 42 días,2021-07-01,"El Golf - Metro Alcántara - Amoblado De Lujo!, Barrio El Golf, Las Condes, RM (Metropolitana)",1.500.000,,"0,56 UF/m²","0,33 UF/m²",90 m²,80 m²,2,2,1,,,,,,,
1414,Vista Panorámica Espectacular,Departamento,Publicado hace 3 meses,2021-07-01,"Luz 2700 - 3000, Centro Financiero, Las Condes, RM (Metropolitana)",620.000,,"0,26 UF/m²","0,43 UF/m²",80 m²,70 m²,1,2,1,80000 CLP,,,,,,
1415,Departamento En Arriendo Las Condes,Departamento,Publicado hace 3 meses,2021-07-01,"Avenida Manquehue Sur 1500 - 1800, Rotonda Atenas, Las Condes, RM (Metropolitana)",650.000,,"0,2 UF/m²","0,26 UF/m²",109 m²,99 m²,3,3,1,150000 CLP,,,,,,
1416,Av. Las Condes / Camino San Antonio,Departamento,Publicado hace 3 meses,2021-07-01,"Av. Las Condes / Camino San Antonio, Mall Sport, Las Condes, RM (Metropolitana)",580.000,,"0,33 UF/m²","0,37 UF/m²",58.49 m²,47.01 m²,1,1,1,70000 CLP,,,,,,
1417,"Barrio El Golf Sur, Callao  / San Crescente",Departamento,Publicado hace 3 meses,2021-07-01,"Barrio El Golf Sur, Callao  / San Crescente, Barrio El Golf, Las Condes, RM (Metropolitana)",430.000,,"0,36 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,1,,,,,,,
1418,Metro Alcántara / 3 Estacionamientos + Bodega / Alsacia,Departamento,Publicado hace 42 días,2021-07-01,"Metro Alcántara / 3 Estacionamientos + Bodega / Alsacia, Barrio El Golf, Las Condes, RM (Metropolitana)",80,2.377.024,"0,27 UF/m²","0,24 UF/m²",300 m²,300 m²,4,5,3,380000 CLP,,,,,,
1419,Las Condes,Departamento,Publicado hace 3 meses,2021-07-01,"Las Condes, San Damián, Las Condes, RM (Metropolitana)",180,5.348.304,"0,19 UF/m²","0,24 UF/m²",961 m²,412 m²,5,6,5,,,,,,,
1420,"Departamento Arriendo Luz, Las Condes.-",Departamento,Publicado hace 3 meses,2021-07-01,"Departamento Arriendo Luz, Las Condes.-, Centro Financiero, Las Condes, RM (Metropolitana)",1.150.000,,"0,37 UF/m²",,105 m²,105 m²,3,2,1,,,,,,,
1421,Hermoso Departamento,Departamento,Publicado hace 3 meses,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",895.000,,"0,41 UF/m²","0,33 UF/m²",73.43 m²,60.33 m²,2,2,1,,,,,,,
1422,"Luz, Las Condes",Departamento,Publicado hace 3 meses,2021-07-01,"Luz, Las Condes, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,24 UF/m²","0,26 UF/m²",170 m²,160 m²,3,3,,,,,,,,
1423,"Departamento En Arriendo, Richard Neutra, Las Condes.-",Departamento,Publicado hace 3 meses,2021-07-01,"Departamento En Arriendo, Richard Neutra, Las Condes.-, Parque Arauco, Las Condes, RM (Metropolitana)",2.000.000,,"0,37 UF/m²","0,26 UF/m²",180 m²,180 m²,3,3,2,,,,,,,
1424,Loft Amoblado / El Golf  / Presidente Riesco / Disponibl...,Departamento,Publicado hace 3 meses,2021-07-01,"Loft Amoblado / El Golf  / Presidente Riesco / Disponible Mayo, Barrio El Golf, Las Condes, RM (Metropolitana)",980.000,,"0,41 UF/m²","0,43 UF/m²",80 m²,80 m²,1,2,1,250000 CLP,,,,,,
1425,Loft Amoblado / El Golf  / Presidente Riesco / Disponibl...,Departamento,Publicado hace 3 meses,2021-07-01,"Loft Amoblado / El Golf  / Presidente Riesco / Disponible Mayo, Barrio El Golf, Las Condes, RM (Metropolitana)",980.000,,"0,41 UF/m²","0,43 UF/m²",80 m²,80 m²,1,2,1,250000 CLP,,,,,,
1426,Metro Escuela Militar + Amoblado + Entrega Inmediata,Departamento,Publicado hace 42 días,2021-07-01,"Metro Escuela Militar + Amoblado + Entrega Inmediata, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.200.000,,"0,25 UF/m²","0,28 UF/m²",160 m²,140 m²,3,3,1,,,,,,,
1427,"Amoblado, República Árabe De Egipto/  Metro Manquehue,",Departamento,Publicado hace 3 meses,2021-07-01,"Rep Árabe De Egipto 600 - 900, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",450.000,,"0,34 UF/m²","0,37 UF/m²",45 m²,42 m²,1,1,1,,,,,,,
1428,Ebro / Metro Tobalaba,Departamento,Publicado hace 3 meses,2021-07-01,"Ebro / Metro Tobalaba, Centro Financiero, Las Condes, RM (Metropolitana)",370.000,,"0,25 UF/m²","0,37 UF/m²",50 m²,50 m²,1,1,,100000 CLP,33 años,,,,,
1429,Las Torcazas / El Golf / Metro Alcántara,Departamento,Publicado hace 42 días,2021-07-01,"Las Torcazas / El Golf / Metro Alcántara, Barrio El Golf, Las Condes, RM (Metropolitana)",1.150.000,,"0,3 UF/m²","0,28 UF/m²",130 m²,120 m²,3,3,1,,,,,,,
1430,Amoblado / Vista Privilegiada / Lujo / W Residense,Departamento,Publicado hace 3 meses,2021-07-01,"Amoblado / Vista Privilegiada / Lujo / W Residense, Barrio El Golf, Las Condes, RM (Metropolitana)",135,4.011.228,"0,6 UF/m²",,225 m²,140 m²,2,3,1,,,,,,,
1431,Avenida Presidente Riesco / Augusto Leguia Norte / Las C...,Departamento,Publicado hace 42 días,2021-07-01,"Avenida Presidente Riesco / Augusto Leguia Norte / Las Condes, Barrio El Golf, Las Condes, RM (Metropolitana)",1.500.000,,"0,53 UF/m²","0,32 UF/m²",95 m²,75 m²,1,1,1,,,,,,,
1432,Las Torcazas / El Golf / Metro Alcántara,Departamento,Publicado hace 42 días,2021-07-01,"Las Torcazas / El Golf / Metro Alcántara, Barrio El Golf, Las Condes, RM (Metropolitana)",1.150.000,,"0,3 UF/m²","0,28 UF/m²",130 m²,120 m²,3,3,1,,,,,,,
1433,Alcantara / Martín De Zamora,Departamento,Publicado hace 3 meses,2021-07-01,"Alcantara / Martín De Zamora, Vaticano, Las Condes, RM (Metropolitana)",1.250.000,,"0,23 UF/m²","0,26 UF/m²",180 m²,160 m²,3,3,2,,,,,,,
1434,Callao / Gertrudis Echenique / Metro Alcantara / Las Condes,Departamento,Publicado hace 42 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",1.900.000,,"0,44 UF/m²","0,29 UF/m²",145 m²,125 m²,2,3,1,220000 CLP,,,,,,
1435,"En Moderno Edificio, Calle Tranquila, Su Estado Es Impecable",Departamento,Publicado hace 3 meses,2021-07-01,"Alsacia 145, Barrio El Golf, Las Condes, RM (Metropolitana)",870.000,,"0,4 UF/m²","0,33 UF/m²",74 m²,70 m²,2,2,1,140000 CLP,,,,,,
1436,Departamento Oportunidad Mejor Ubicación,Departamento,Publicado hace 3 meses,2021-07-01,"Braganza 8100 - 8400, Los Dominicos, Las Condes, RM (Metropolitana)",16,475.405,"0,4 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,,80000 CLP,,,,,,
1437,"Estudio Con Excelente Ubicación, Metro, Restorantes, Cen...",Departamento,Publicado hace 3 meses,2021-07-01,"Estudio Con Excelente Ubicación, Metro, Restorantes, Centro Financiero. Ideal Para Inversión, Barrio El Golf, Las Condes, RM (Metropolitana)",390.000,,"0,49 UF/m²","0,37 UF/m²",27 m²,27 m²,1,1,,400000 CLP,,,,,,
1438,Presidente Riesco / El Dante,Departamento,Publicado hace 3 meses,2021-07-01,"Presidente Riesco / El Dante, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.380.000,,"0,2 UF/m²","0,26 UF/m²",237 m²,220 m²,3,3,3,,,,,,,
1439,Luz / Presidente Riesco,Departamento,Publicado hace 3 meses,2021-07-01,"Luz / Presidente Riesco, Centro Financiero, Las Condes, RM (Metropolitana)",980.000,,"0,2 UF/m²","0,26 UF/m²",168 m²,168 m²,4,3,2,230000 CLP,,,,,,
1440,"Excelente Depto , 2 Dormit  2 Baños , Terraza , Estac  Bog",Departamento,Publicado hace 3 meses,2021-07-01,"Napoleón 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",580.000,,"0,3 UF/m²","0,33 UF/m²",66 m²,55 m²,2,2,,,,,,,,
1441,Barrio El Golf - Metro Alcántara. Sin Ruido,Departamento,Publicado hace 42 días,2021-07-01,"Barrio El Golf - Metro Alcántara. Sin Ruido, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,34 UF/m²","0,3 UF/m²",120 m²,100 m²,3,3,2,,,,,,,
1442,Ebro - El Bosuqe - Metro Tobalaba - Sin Muebles Oportunidad,Departamento,Publicado hace 3 meses,2021-07-01,"Ebro 2700 - 3000, Centro Financiero, Las Condes, RM (Metropolitana)",450.000,,"0,27 UF/m²","0,37 UF/m²",56 m²,50 m²,1,1,1,,,,,,,
1443,Augusto Leguia / El Golf,Departamento,Publicado hace 3 meses,2021-07-01,"Augusto Leguia / El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",1.400.000,,"0,5 UF/m²","0,43 UF/m²",95 m²,80 m²,1,2,2,350000 CLP,,,,,,
1444,"Arrienda Departamento De Lujo, 1 Dormitorio, Estadio",Departamento,Publicado hace 3 meses,2021-07-01,"Arrienda Departamento De Lujo, 1 Dormitorio, Estadio Español, Metro Escuela Militar, Las Condes, RM (Metropolitana)",17,505.118,"0,43 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,1,75000 CLP,,,,,,
1445,"Espectacular Departamento Barrio El Golf 4 Habitaciones,...",Departamento,Publicado hace 3 meses,2021-07-01,"Espectacular Departamento Barrio El Golf 4 Habitaciones, 3 Estacionamientos, Barrio El Golf, Las Condes, RM (Metropolitana)",89,2.644.439,"0,33 UF/m²","0,24 UF/m²",270 m²,218 m²,4,5,3,,,,,,,
1446,Plaza Peru,Departamento,Publicado hace 3 meses,2021-07-01,"Plaza Peru, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",800.000,,"0,23 UF/m²","0,3 UF/m²",116 m²,116 m²,2,2,1,,,,,,,
1447,Vespucio Norte: La Gioconda - Hamlet / El Trovador,Departamento,Publicado hace 3 meses,2021-07-01,"Vespucio Norte: La Gioconda - Hamlet / El Trovador, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.000.000,,"0,29 UF/m²","0,3 UF/m²",117 m²,100 m²,3,3,1,170000 CLP,,,,,,
1448,Estupendo Departamento Iluminado Con Excelente Ubicación,Departamento,Publicado hace 20 días,2021-07-01,"Avenida Cristóbal Colón 6300 - 6600, Rotonda Atenas, Las Condes, RM (Metropolitana)",1.400.000,,"0,28 UF/m²","0,26 UF/m²",167.5 m²,129.5 m²,4,3,2,330000 CLP,,,,,,
1449,San Crecente / Callao,Departamento,Publicado hace 3 meses,2021-07-01,"San Crecente / Callao, Barrio El Golf, Las Condes, RM (Metropolitana)",22,653.682,"0,22 UF/m²","0,29 UF/m²",100 m²,100 m²,3,2,1,155000 CLP,,,,,,
1450,Isidora Goyenechea - Benjamin - Presidente Riesco,Departamento,Publicado hace 3 meses,2021-07-01,"Isidora Goyenechea - Benjamin - Presidente Riesco, Barrio El Golf, Las Condes, RM (Metropolitana)",1.400.000,,"0,26 UF/m²","0,26 UF/m²",183 m²,158 m²,3,3,1,,,,,,,
1451,"Lindo Y Luminoso  Dpto , Sector Manquehue.",Departamento,Publicado hace 3 meses,2021-07-01,"Carlos Xii 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",680.000,,"0,32 UF/m²","0,33 UF/m²",72 m²,60 m²,2,2,1,110000 CLP,,,,,,
1452,Full Amoblado Y Equipado / Metro Alcantara Y Escuela Militar,Departamento,Publicado hace 3 meses,2021-07-01,"Full Amoblado Y Equipado / Metro Alcantara Y Escuela Militar, Barrio El Golf, Las Condes, RM (Metropolitana)",500.000,,"0,32 UF/m²","0,37 UF/m²",53 m²,45 m²,1,1,1,,,,,,,
1453,El Golf / Metro Alcántara / Callao,Departamento,Publicado hace 42 días,2021-07-01,"El Golf / Metro Alcántara / Callao, Barrio El Golf, Las Condes, RM (Metropolitana)",1.500.000,,"0,52 UF/m²","0,33 UF/m²",98 m²,90 m²,2,2,1,,,,,,,
1454,Cerro Colorado / Parque Arauco / Hermosa Vista,Departamento,Publicado hace 42 días,2021-07-01,"Cerro Colorado / Parque Arauco / Hermosa Vista, Parque Arauco, Las Condes, RM (Metropolitana)",1.300.000,,"0,46 UF/m²","0,33 UF/m²",96 m²,77 m²,2,2,1,170000 CLP,,,,,,
1455,"Metro El Golf, Las Condes",Departamento,Publicado hace 3 meses,2021-07-01,"Metro El Golf, Las Condes, Barrio El Golf, Las Condes, RM (Metropolitana)",40,1.188.512,"0,18 UF/m²","0,26 UF/m²",220 m²,165 m²,3,3,2,,,,,,,
1456,Dpto Amoblado Cerro Colorado- Parque Araucano -  Las Condes,Departamento,Publicado hace 3 meses,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.250.000,,"0,43 UF/m²","0,33 UF/m²",97 m²,78 m²,2,2,1,,,,,,,
1457,Metro Cirstobal Colon,Departamento,Publicado hace 23 días,2021-07-01,"Metro Cirstobal Colon, Las Lilas, Providencia, RM (Metropolitana)",390.000,,"0,26 UF/m²","0,34 UF/m²",51 m²,47 m²,1,1,1,100000 CLP,,,,,,
1458,Se Arrienda Departamento Con Excelente Vista,Departamento,Publicado hace 23 días,2021-07-01,"Avenida Cristóbal Colón 3600 - 3900, Vaticano, Las Condes, RM (Metropolitana)",410.000,,"0,24 UF/m²",,58 m²,58 m²,1,1,1,90000 CLP,,,,,,
1459,El Golf Club,Departamento,Publicado hace 3 meses,2021-07-01,"El Golf Club, Barrio El Golf, Las Condes, RM (Metropolitana)",550.000,,"0,37 UF/m²","0,37 UF/m²",50 m²,50 m²,1,1,1,,,,,,,
1460,Excelente Ubicacion / Vanguardista / Las Condes,Departamento,Publicado hace 42 días,2021-07-01,"Excelente Ubicacion / Vanguardista / Las Condes, Parque Arauco, Las Condes, RM (Metropolitana)",850.000,,"0,4 UF/m²","0,33 UF/m²",71 m²,62 m²,2,2,1,,,,,,,
1461,Cerro Colorado / Parque Araucano / Las Condes,Departamento,Publicado hace 42 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.300.000,,"0,45 UF/m²","0,33 UF/m²",97 m²,78 m²,2,2,1,170000 CLP,,,,,,
1462,Cerro Colorado / Parque Araucano / Las Condes,Departamento,Publicado hace 42 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.300.000,,"0,46 UF/m²","0,33 UF/m²",96 m²,77 m²,2,2,1,170000 CLP,,,,,,
1463,El Golf / Metro Alcántara / Las Condes,Departamento,Publicado hace 42 días,2021-07-01,"El Golf / Metro Alcántara / Las Condes, Barrio El Golf, Las Condes, RM (Metropolitana)",70,2.079.896,"0,48 UF/m²","0,28 UF/m²",145 m²,135 m²,3,3,1,,,,,,,
1464,Estudio Full Amoblado Y Cercano A Metro Manquehue,Departamento,Publicado hace 3 meses,2021-07-01,"Escandinavia 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",430.000,,"0,54 UF/m²","0,37 UF/m²",27 m²,27 m²,1,1,1,50000 CLP,,,,,,
1465,Departamento Amoblado - El Golf - Metro Alcantara,Departamento,Publicado hace 3 meses,2021-07-01,"Departamento Amoblado - El Golf - Metro Alcantara, Metro Escuela Militar, Las Condes, RM (Metropolitana)",600.000,,"0,31 UF/m²","0,32 UF/m²",66 m²,60 m²,1,1,1,85000 CLP,,,,,,
1466,Metro Alcantara,Departamento,Publicado hace 3 meses,2021-07-01,"Metro Alcantara, Barrio El Golf, Las Condes, RM (Metropolitana)",600.000,,"0,37 UF/m²","0,37 UF/m²",55 m²,50 m²,1,1,1,100000 CLP,,,,,,
1467,Metro Manquehue / / Comercio En General,Departamento,Publicado hace 3 meses,2021-07-01,"Metro Manquehue / / Comercio En General, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",820.000,,"0,38 UF/m²","0,33 UF/m²",72 m²,60 m²,2,2,1,,,,,,,
1468,Amoblado Entrega Inmediata Calle San Francisco De Asís,Departamento,Publicado hace 3 meses,2021-07-01,"San Francisco De Asís 0, Barrio El Golf, Las Condes, RM (Metropolitana)",650.000,,"0,36 UF/m²",,60 m²,56 m²,1,1,1,80000 CLP,,O,,,,1
1469,Amoblado Entrega Inmediata Calle Alsacia,Departamento,Publicado hace 3 meses,2021-07-01,"Alsacia 0, Barrio El Golf, Las Condes, RM (Metropolitana)",630.000,,"0,35 UF/m²",,60 m²,56 m²,1,1,1,100000 CLP,,O,,,,1
1470,Carmencita 110,Departamento,Publicado hace 19 días,2021-07-01,"Carmencita 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",33,995.379,"0,24 UF/m²","0,27 UF/m²",140 m²,140 m²,3,2,1,,,,,,,
1471,Isidora Goyenechea 3000,Departamento,Publicado hace 3 meses,2021-07-01,"Isidora Goyenechea 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",85,2.525.588,"0,78 UF/m²","0,32 UF/m²",109.15 m²,68 m²,1,1,1,480000 CLP,,,,,,
1472,Isidora Goyenechea 3000,Departamento,Publicado hace 3 meses,2021-07-01,"Isidora Goyenechea 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",95,2.822.716,"0,83 UF/m²",,114.69 m²,80.19 m²,1,2,1,540000 CLP,,,,,,
1473,Avenida Manquehue Norte 966 Depto Home Studio ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",530.000,,"0,37 UF/m²","0,37 UF/m²",48.12 m²,40 m²,1,1,1,80000 CLP,,,,,,
1474,Avenida Manquehue Norte 966 Depto Home Studio ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",530.000,,"0,37 UF/m²","0,37 UF/m²",48.12 m²,40 m²,1,1,1,80000 CLP,,,,,,
1475,Avenida Manquehue Norte 966 Depto Home Studio ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",530.000,,"0,37 UF/m²","0,37 UF/m²",48.12 m²,40 m²,1,1,1,80000 CLP,,,,,,
1476,Avenida Manquehue Norte 966 Depto Home Studio ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",530.000,,"0,37 UF/m²","0,37 UF/m²",48.12 m²,40 m²,1,1,1,80000 CLP,,,,,,
1477,Avenida Manquehue Norte 966 Depto Home Studio ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",530.000,,"0,37 UF/m²","0,37 UF/m²",48.12 m²,40 m²,1,1,1,80000 CLP,,,,,,
1478,Avenida Manquehue Norte 966 Depto Home Studio ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",530.000,,"0,37 UF/m²","0,37 UF/m²",48.12 m²,40 m²,1,1,1,80000 CLP,,,,,,
1479,Avenida Manquehue Norte 966 Depto Home Studio ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",530.000,,"0,37 UF/m²","0,37 UF/m²",48.12 m²,40 m²,1,1,1,80000 CLP,,,,,,
1480,Avenida Manquehue Norte 966 Depto Home Studio ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",530.000,,"0,37 UF/m²","0,37 UF/m²",48.12 m²,40 m²,1,1,1,80000 CLP,,,,,,
1481,Avenida Manquehue Norte 966 Depto Home Studio ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",530.000,,"0,37 UF/m²","0,37 UF/m²",48.12 m²,40 m²,1,1,1,80000 CLP,,,,,,
1482,Avenida Manquehue Norte 966 Depto Home Studio ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",530.000,,"0,37 UF/m²","0,37 UF/m²",48.12 m²,40 m²,1,1,1,80000 CLP,,,,,,
1483,Avenida Manquehue Norte 966 Depto Home Studio ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",530.000,,"0,37 UF/m²","0,37 UF/m²",48.12 m²,40 m²,1,1,1,80000 CLP,,,,,,
1484,Carmencita / Roger De Flor,Departamento,Publicado hace 2 meses,2021-07-01,"Carmencita / Roger De Flor, Barrio El Golf, Las Condes, RM (Metropolitana)",460.000,,"0,35 UF/m²","0,37 UF/m²",44.15 m²,40 m²,1,1,1,,,,,,,
1485,El Golf / Riesco,Departamento,Publicado hace 2 meses,2021-07-01,"El Golf / Riesco, Barrio El Golf, Las Condes, RM (Metropolitana)",980.000,,"0,39 UF/m²","0,43 UF/m²",85 m²,75 m²,1,2,1,220000 CLP,,,,,,
1486,Av. Las Condes,Departamento,Publicado hace 2 meses,2021-07-01,"Av. Las Condes, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",900.000,,"0,25 UF/m²","0,27 UF/m²",120 m²,120 m²,4,2,1,,,,,,,
1487,Estadio Italiano-vista Despejada,Departamento,Publicado hace 2 meses,2021-07-01,"Estadio Italiano-vista Despejada, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",2.700,1.964.952,"0,36 UF/m²","0,26 UF/m²",184 m²,160 m²,4,3,1,,,,,,,
1488,Broker Arrienda- El Golf-impecable 3d+3b+dependencias +s...,Departamento,Publicado hace 2 meses,2021-07-01,"Broker Arrienda- El Golf-impecable 3d+3b+dependencias +se+2es+1b+termopanel, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,24 UF/m²","0,28 UF/m²",170 m²,140 m²,4,4,2,,,,,,,
1489,Alcantara,Departamento,Publicado hace 2 meses,2021-07-01,"Alcantara, Barrio El Golf, Las Condes, RM (Metropolitana)",1.150.000,,"0,42 UF/m²","0,33 UF/m²",92 m²,72 m²,2,2,,,,,,,,
1490,Departamento 1 Dorm 1 Baño Amoblado Pasos De Escuela,Departamento,Publicado hace 2 meses,2021-07-01,"El Trovador 4315, Metro Escuela Militar, Las Condes, RM (Metropolitana)",14,415.979,"0,35 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,,,,,,,,
1491,Ebro 2751 1d 1b Est Bod Metro Tobalaba ,Departamento,Publicado hace 2 meses,2021-07-01,"Ebro 2751, Centro Financiero, Las Condes, RM (Metropolitana)",460.000,,"0,34 UF/m²","0,37 UF/m²",45 m²,45 m²,1,1,1,,,,,,,
1492,Residencia Vip (800m1 - 300) Avenida Presidente Riesco -,Departamento,Publicado hace 2 meses,2021-07-01,"Residencia Vip (800m2) Avenida Presidente Riesco - Club De Golf Los Leones - Las Torcazas - Américo Vespucio / / English Spoken, Barrio El Golf, Las Condes, RM (Metropolitana)",6.900.000,,"0,29 UF/m²","0,24 UF/m²",800 m²,740 m²,6,9,4,1000000 CLP,,,,,,
1493,Metro Escuela Militar,Departamento,Publicado hace 2 meses,2021-07-01,"Metro Escuela Militar, Metro Escuela Militar, Las Condes, RM (Metropolitana)",650.000,,"0,3 UF/m²","0,33 UF/m²",72 m²,62 m²,2,2,1,95000 CLP,,,,,,
1494,Avenida Las Condes / Quinchamali,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Las Condes / Quinchamali, Quinchamalí, Las Condes, RM (Metropolitana)",620.000,,"0,22 UF/m²","0,29 UF/m²",97 m²,82 m²,3,2,1,120000 CLP,27 años,,,,,
1495,El Golf,Departamento,Publicado hace 2 meses,2021-07-01,"Augusto Leguía Norte 255, Barrio El Golf, Las Condes, RM (Metropolitana)",600.000,,"0,24 UF/m²","0,33 UF/m²",85 m²,80 m²,2,2,1,,,,,,,
1496,"Amplio Y Hermoso Departamento, En El Mejor Sector De Bar...",Departamento,Publicado hace 2 meses,2021-07-01,"Amplio Y Hermoso Departamento, En El Mejor Sector De Barrio El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",1.280.000,,"0,26 UF/m²","0,26 UF/m²",165 m²,140 m²,4,3,2,,,,,,,
1497,Cerro Colorado 0,Departamento,Publicado hace 2 meses,2021-07-01,"Cerro Colorado 0, Parque Arauco, Las Condes, RM (Metropolitana)",25,747.871,"0,31 UF/m²","0,33 UF/m²",80 m²,70 m²,2,2,1,,,,,,,
1498,"Metro El Golf, Callao / 3d, 2b, + Serv, 2 Estacionamient...",Departamento,Publicado hace 2 meses,2021-07-01,"Metro El Golf, Callao / 3d, 2b, + Serv, 2 Estacionamientos Y Bod, Barrio El Golf, Las Condes, RM (Metropolitana)",850.000,,"0,19 UF/m²","0,28 UF/m²",150 m²,130 m²,4,3,2,185000 CLP,,,,,,
1499, Av. Las Condes,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Las Condes 1 - 300, Estoril, Las Condes, RM (Metropolitana)",580.000,,"0,26 UF/m²","0,29 UF/m²",76 m²,70 m²,3,2,1,130000 CLP,,,,,,
1500,Av El Golf / Apoquindo,Departamento,Publicado hace 37 días,2021-07-01,"Av El Golf / Apoquindo, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,25 UF/m²","0,24 UF/m²",159 m²,159 m²,4,3,2,,,,,,,
1501,Parque Arauco - Vista Al Parque Y Cordillera - Amoblado ,Departamento,Publicado hace 2 meses,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.250.000,,"0,43 UF/m²","0,33 UF/m²",97 m²,78 m²,2,2,1,,,,,,,
1502,La Gloria 30,Departamento,Publicado hace 37 días,2021-07-01,"La Gloria 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",420.000,,"0,47 UF/m²","0,37 UF/m²",30 m²,30 m²,1,1,1,85000 CLP,,,,,,
1503,Excelente Departamento A Pasos Del Metro,Departamento,Publicado hace 2 meses,2021-07-01,"La Gloria 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",550.000,,"0,31 UF/m²","0,38 UF/m²",60 m²,48 m²,2,2,1,,,,,,,
1504,Se Arrienda Completamente Amoblado Disponibilidad Inmediata,Departamento,Publicado hace 2 meses,2021-07-01,"Renato Sánchez 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",50,1.485.640,"0,3 UF/m²","0,26 UF/m²",165 m²,140 m²,4,3,2,,,,,,,
1505,Isidora Goyenechea / Benjamin,Departamento,Publicado hace 2 meses,2021-07-01,"Isidora Goyenechea / Benjamin, Barrio El Golf, Las Condes, RM (Metropolitana)",1.400.000,,"0,26 UF/m²","0,24 UF/m²",180 m²,155 m²,4,4,2,210000 CLP,,,,,,
1506,San Sebastián / El Bosque,Departamento,Publicado hace 2 meses,2021-07-01,"San Sebastián / El Bosque, Barrio El Golf, Las Condes, RM (Metropolitana)",690.000,,"0,31 UF/m²","0,32 UF/m²",75 m²,70 m²,1,1,,,,,,,,
