,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
61,Código: 101037431,Casa,Casa en Venta Usado La Reina - Metropolitana Ver ubicación,VICENTE PEREZ ROSALES / VEINTITRES DE FEBRERO,UF 21.000,$ 620.119.080,6,4,540 m²,290 m²,,304.654.703,27-05-2021,2020 1ºSem,67,-33.4366,-70.5511
62,Código: 102375460,Departamento,Departamento en Venta Usado La Reina - Metropolitana Ver ubicación,Principe de Gales,UF 7.477,$ 220.791.921,3,3,,100 m²,115 m²,43.452.623,18-04-2021,,,-33.4394,-70.5576
63,Código: Add1089651,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Av. Las Condes a pasos de Mall Sport,UF 8.000,$ 236.235.840,2,2,86 m²,70 m²,70 m²,92.783.857,22-06-2021,2020 1ºSem,79,-33.3709988,-70.5134308
64,Código: 101078201,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,La Cabaña-San Damian-LAS CONDES,UF 25.000,$ 738.237.000,5,5,840 m²,360 m²,,297.296.298,24-04-2021,2020 1ºSem,87,-33.3748,-70.5119
65,Código: Add480957,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Espectacular casa en San Damián,UF 53.000,$ 1.565.062.440,5,6,1.980 m²,,592 m²,922.261.287,11-06-2018,2020 1ºSem,87,-33.3787835,-70.5130712
66,Código: 102037523,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Camino San Antonio/Las Condes,UF 7.241,$ 213.822.964,2,2,,60 m²,70 m²,82.582.297,26-06-2021,2020 1ºSem,82,-33.372,-70.5148
67,Código: 1549348,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Mall Sport / Fray León.,UF 10.500,$ 310.059.540,3,2,,116 m²,116 m²,136.182.537,12-12-2018,2020 1ºSem,82,-33.372,-70.5124
68,Código: 1567304,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,"San Damián, espectacular duplex",UF 32.500,$ 959.708.100,4,4,,317 m²,,322.089.593,17-06-2020,2020 1ºSem,82,-33.3739,-70.5138
69,Código: 101070920,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,SAN DAMIÁN-FCO DE ASÍS,UF 110.000,$ 3.248.242.800,6,4,3.075 m²,826 m²,,1.489.865.366,01-10-2019,2020 1ºSem,87,-33.3793,-70.5112
70,Código: 1559381,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Venta Penthouse en San Damián / Las Condes,UF 37.500,$ 1.107.355.500,4,4,,387 m²,,510.540.976,12-09-2019,2020 1ºSem,82,-33.3799,-70.5147
71,Código: 102033863,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,La Cabaña / Avda. Las Condes / Cantagallo,UF 7.000,$ 206.706.360,2,2,,78 m²,86 m²,114.066.557,01-06-2021,2020 1ºSem,82,-33.3716,-70.5127
72,Código: 102376531,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Líder Puente Nuevo,UF 8.600,$ 253.953.528,2,2,,112 m²,138 m²,116.820.703,27-06-2021,2020 1ºSem,79,-33.3709,-70.5133
73,Código: 101052450,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,FRANCISCO DE ASIS/ CAMINO LA VIÑA,UF 51.000,$ 1.506.003.480,5,4,1.980 m²,592 m²,,922.261.287,06-02-2019,2020 1ºSem,87,-33.3792,-70.5112
74,Código: 101064136,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,San fFancisco de Asis,UF 35.000,$ 1.033.531.800,4,5,600 m²,330 m²,,484.220.380,10-06-2020,2020 1ºSem,87,-33.3784,-70.5142
75,Código: 101047711,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,AV. LAS CONDES / PUENTE NUEVO,UF 58.000,$ 1.712.709.840,5,4,2.300 m²,840 m²,840 m²,1.046.035.989,07-02-2019,2020 1ºSem,87,-33.3729,-70.5103
76,,,,,,,,,,,,,,,,,
77,Código: 102375927,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Mall Sport,UF 22.500,$ 664.413.300,3,4,,270 m²,302 m²,316.583.901,19-05-2021,2020 1ºSem,82,-33.3737,-70.5135
78,Código: 102078716,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,LOS CACTUS-MALL LA DEHESA,UF 13.900,$ 410.459.772,3,3,,140 m²,165 m²,177.844.126,10-06-2021,2020 1ºSem,90,-33.3574,-70.5195
79,,,,,,,,,,,,,,,,,
80,Código: 101373650,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,El Rodeo,UF 46.500,$ 1.373.120.820,6,4,1.278 m²,265 m²,,584.618.167,04-01-2021,2020 1ºSem,74,-33.3523,-70.5172
81,,,,,,:precioDespliegue:,5,4,2.781 m²,400 m²,400 m²,1.364.243.491,04-09-2019,,,-33.3526,-70.517
82,Código: 102044853,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,El Rodeo / Mall Portal La Dehesa,UF 10.900,$ 321.871.332,4,4,,138 m²,153 m²,195.672.016,28-09-2020,2020 1ºSem,83,-33.3526,-70.513
