,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
3149,Código: 102006225,Departamento,Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación,Bosques De La Pirámide / 3D-2B /125m2/ 2 Estacionamiento,UF 6.700,$ 197.847.516,3,2,,99 m²,125 m²,97.509.294,04-06-2021,2020 1ºSem,59,-33.3835,-70.6101
3150,,,,,,,3,3,,108 m²,,95.122.578,16-06-2021,,,-33.3847,-70.6113
3151,Código: 102077703,Departamento,Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación,Ciudad Empresarial,UF 5.850,$ 172.747.458,2,2,,80 m²,86 m²,46.399.750,12-03-2021,,,-33.3895,-70.6179
3152,,Departamento,Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación,Bosques De La Pirámide/ Cuidad Empresarial /2D-2B / 66m2/EE,UF 4.800,$ 141.741.504,2,2,,1 m²,1 m²,53.470.355,02-06-2021,2020 1ºSem,59,-33.3836,-70.6108
3153,,,,,UF 2.700,$ 79.729.596,2,1,,40 m²,45 m²,26.072.493,29-05-2021,,,-33.4285,-70.6301
3154,Código: 1028068039-26,Departamento,Departamento en Venta Usado San Miguel - Metropolitana Ver ubicación,San Petersburgo (2),UF 2.049,$ 60.505.904,3,1,,46 m²,48 m²,25.119.040,03-06-2021,2020 1ºSem,36,-33.515,-70.6478
3155,Código: 1028068039-25,Departamento,Departamento en Venta Usado San Miguel - Metropolitana Ver ubicación,San Petersburgo,UF 2.049,$ 60.505.904,3,1,,46 m²,48 m²,25.119.040,03-06-2021,2020 1ºSem,36,-33.515,-70.6478
3156,Código: 1028068039-27,Departamento,Departamento en Venta Usado San Miguel - Metropolitana Ver ubicación,San Petersburgo (3),UF 2.049,$ 60.505.904,3,1,,46 m²,48 m²,25.119.040,03-06-2021,2020 1ºSem,36,-33.5156,-70.6477
3157,Código: Add549212,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Impactante Duplex en San Damián,UF 44.500,$ 1.314.061.860,5,5,524 m²,366 m²,366 m²,1.277.784.600,19-10-2018,2020 1ºSem,82,-33.3803833,-70.5252539
3158,Código: 1551927,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Venta departamento en San Damián,UF 28.000,$ 826.825.440,4,3,,335 m²,,446.320.498,20-03-2019,2020 1ºSem,82,-33.3802,-70.5228
3159,Código: 102073343,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Camino la fuente,UF 45.000,$ 1.328.826.600,5,6,,320 m²,350 m²,558.788.707,22-01-2020,,,-33.3868,-70.5207
3160,,,,San Damian,UF 28.000,$ 826.825.440,5,3,,340 m²,380 m²,446.320.498,05-11-2020,2020 1ºSem,82,-33.3808,-70.5223
3161,Código: 101038488,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,San Damian/ Paul Harris,UF 75.000,$ 2.214.711.000,4,6,2.500 m²,1.200 m²,1.200 m²,1.384.666.414,30-01-2019,2020 1ºSem,87,-33.3845,-70.5224
3162,,,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Estoril,UF 31.000,$ 915.413.880,3,3,,226 m²,386 m²,287.665.396,06-02-2019,2020 1ºSem,82,-33.3897,-70.5271
3163,Código: 1573689,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Venta Pent-House San Damián/Las Condes,UF 44.900,$ 1.325.873.652,4,4,,353 m²,,543.986.616,10-01-2021,2020 1ºSem,82,-33.3817,-70.5203
3164,Código: 102005255,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,PENTHOUSE / GRAN TERRAZA / MUSEO RALLI / PLAZA TURQUIA,UF 21.988,$ 649.294.206,2,4,,180 m²,295 m²,232.650.927,03-06-2020,2020 1ºSem,91,-33.3973,-70.5919
3165,,,,,,,,,,,,,,,,,
3166,Código: 102078630,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,EXCLUSIVO DUPLEX CON JARDÍN (cod:mjn),UF 39.000,$ 1.151.649.720,5,6,,360 m²,580 m²,301.844.314,15-06-2021,2020 1ºSem,91,-33.3949,-70.592
3167,Código: 102135324,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,Francisco de Riveros / Club de Polo,UF 13.490,$ 398.352.685,3,3,,128 m²,148 m²,173.191.931,22-05-2021,2020 1ºSem,97,-33.3921,-70.5909
3168,Código: 102064269,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,Juan Agustín Alcalde,UF 12.500,$ 369.118.500,3,2,,135 m²,150 m²,177.976.982,19-06-2019,2020 1ºSem,91,-33.3943,-70.5949
3169,Código: 102005671,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,ESPOZ / JUAN AGUSTIN ALCALDE,UF 27.000,$ 797.295.960,4,5,,350 m²,380 m²,258.492.221,02-06-2021,2020 1ºSem,91,-33.396,-70.5925
3170,Código: 102161739,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,Américo Vespucio / Francisco de Aguirre,UF 11.900,$ 351.400.812,3,3,,168 m²,190 m²,182.509.035,01-02-2021,2020 1ºSem,97,-33.3926,-70.5922
3171,Código: 46348,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,AV BICENTENARIO/CASA COSTANERA,UF 14.050,$ 414.889.194,4,4,,151 m²,,170.459.486,10-04-2021,2020 1ºSem,91,-33.3966,-70.5988
